id,split,MinTemp,MaxTemp,MedTemp,Rainfall,Sunshine,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-02-01,labeled,19.5,22.4,20.95,15.6,0.0,92.0,84.0,1017.6,1017.4,20.7,20.9
2008-02-02,labeled,19.5,25.6,22.55,6.0,2.7,83.0,73.0,1017.9,1016.4,22.4,24.8
2008-02-03,labeled,21.6,24.5,23.05,6.6,0.1,88.0,86.0,1016.7,1015.6,23.5,23.0
2008-02-04,labeled,20.2,22.8,21.5,18.8,0.0,83.0,90.0,1014.2,1011.8,21.4,20.9
2008-02-05,labeled,19.7,25.7,22.7,77.4,0.0,88.0,74.0,1008.3,1004.8,22.5,25.5
2008-02-06,labeled,20.2,27.2,23.7,1.6,8.6,69.0,62.0,1002.7,998.6,23.8,26.0
2008-02-07,labeled,18.6,26.3,22.450000000000003,6.2,5.2,75.0,80.0,999.0,1000.3,21.7,22.3
2008-02-08,labeled,17.2,22.3,19.75,27.6,2.1,77.0,61.0,1008.3,1007.4,18.9,21.1
2008-02-09,labeled,16.4,20.8,18.6,12.6,3.0,92.0,91.0,1006.4,1007.6,17.1,16.5
2008-02-10,labeled,14.6,24.2,19.4,8.8,10.1,80.0,53.0,1014.0,1013.4,17.2,23.3
2008-02-11,labeled,16.4,23.9,20.15,0.0,8.0,78.0,53.0,1017.6,1015.3,18.9,23.7
2008-02-12,labeled,18.9,27.3,23.1,0.0,6.7,68.0,67.0,1010.7,1007.5,22.9,24.7
2008-02-13,labeled,18.4,22.8,20.6,14.4,3.3,87.0,70.0,1009.2,1011.7,20.9,21.0
2008-02-14,labeled,16.9,24.3,20.6,3.0,8.7,81.0,51.0,1017.2,1016.5,18.4,23.3
2008-02-15,labeled,18.3,24.4,21.35,0.0,8.5,80.0,56.0,1020.2,1018.9,19.5,23.8
2008-02-16,labeled,16.7,24.1,20.4,0.0,8.8,77.0,52.0,1023.0,1022.6,19.8,23.3
2008-02-17,labeled,19.5,24.8,22.15,0.0,3.2,63.0,62.0,1024.7,1023.1,21.8,23.4
