id,split,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,labeled,31,management,married,tertiary,no,460,no,no,cellular,28,aug,13,14,-1,0,unknown,no
2,labeled,34,blue-collar,married,secondary,no,1826,yes,no,unknown,20,may,203,2,-1,0,unknown,no
3,labeled,50,blue-collar,married,secondary,no,290,yes,no,cellular,7,aug,226,3,-1,0,unknown,no
4,labeled,42,admin.,divorced,secondary,no,1077,yes,no,unknown,14,may,213,1,-1,0,unknown,no
5,labeled,47,services,single,secondary,no,41,yes,no,cellular,5,may,298,1,-1,0,unknown,no
6,labeled,48,management,married,tertiary,no,6609,no,no,unknown,17,jun,159,3,-1,0,unknown,no
7,labeled,48,blue-collar,married,secondary,no,750,yes,no,cellular,16,apr,227,1,-1,0,unknown,no
8,labeled,33,management,married,unknown,no,18345,yes,no,unknown,23,may,415,1,-1,0,unknown,no
9,labeled,53,technician,divorced,primary,no,7280,yes,no,unknown,30,may,153,1,-1,0,unknown,no
10,labeled,43,management,married,tertiary,no,2883,no,no,cellular,20,nov,230,1,-1,0,unknown,no
11,labeled,37,management,single,tertiary,no,42,no,no,cellular,28,jan,253,2,-1,0,unknown,no
12,labeled,37,services,married,secondary,no,1322,yes,no,telephone,13,may,121,2,341,4,failure,no
13,labeled,38,blue-collar,married,primary,no,504,yes,yes,unknown,12,jun,122,1,-1,0,unknown,no
14,labeled,30,services,single,secondary,no,0,yes,no,cellular,18,may,131,6,363,9,failure,no
15,labeled,29,management,single,tertiary,no,27,yes,no,cellular,14,may,107,4,371,3,failure,no
16,labeled,46,management,married,tertiary,no,1366,yes,no,cellular,17,nov,308,3,-1,0,unknown,no
17,labeled,46,unemployed,married,secondary,no,3538,yes,no,cellular,12,aug,235,2,-1,0,unknown,no
18,labeled,31,blue-collar,single,tertiary,no,2189,yes,no,unknown,23,may,146,3,-1,0,unknown,no
20,labeled,33,technician,married,secondary,no,349,yes,no,cellular,20,apr,210,1,242,1,other,no
21,labeled,28,management,married,tertiary,no,316,yes,no,unknown,27,may,4,4,-1,0,unknown,no
22,labeled,38,unemployed,single,tertiary,no,0,no,no,cellular,6,feb,39,2,-1,0,unknown,no
23,labeled,41,technician,single,secondary,no,1674,yes,no,unknown,2,jun,76,2,-1,0,unknown,no
25,labeled,37,technician,divorced,secondary,no,83,no,no,cellular,21,jul,191,1,-1,0,unknown,no
27,labeled,57,retired,married,secondary,no,374,yes,yes,cellular,16,jul,236,1,-1,0,unknown,no
28,labeled,32,technician,single,secondary,no,225,yes,no,cellular,18,may,442,1,266,8,failure,yes
29,labeled,35,technician,divorced,secondary,no,0,no,no,cellular,25,aug,124,4,-1,0,unknown,no
30,labeled,32,management,married,tertiary,no,549,yes,no,cellular,22,jul,72,1,-1,0,unknown,no
32,labeled,39,management,married,secondary,no,0,yes,no,cellular,27,aug,63,3,-1,0,unknown,no
33,labeled,41,technician,married,tertiary,no,736,yes,no,unknown,14,may,125,1,-1,0,unknown,no
34,labeled,58,management,married,tertiary,no,2725,no,no,unknown,18,jun,188,1,-1,0,unknown,no
35,labeled,34,technician,single,secondary,no,337,yes,no,cellular,6,feb,154,2,197,6,failure,no
36,labeled,39,unknown,single,secondary,no,912,no,no,unknown,5,jun,20,1,-1,0,unknown,no
37,labeled,41,admin.,divorced,secondary,no,3832,no,no,cellular,26,apr,234,10,-1,0,unknown,no
38,labeled,27,admin.,married,secondary,no,-245,yes,yes,unknown,4,jun,344,2,-1,0,unknown,no
39,labeled,53,technician,divorced,secondary,no,749,yes,no,unknown,16,may,343,4,-1,0,unknown,no
40,labeled,34,management,married,tertiary,no,566,no,no,cellular,10,aug,122,1,-1,0,unknown,no
41,labeled,37,admin.,married,secondary,no,168,yes,no,cellular,5,may,147,2,347,1,failure,no
42,labeled,73,retired,married,primary,no,800,no,no,cellular,23,oct,427,1,182,2,failure,yes
43,labeled,41,blue-collar,married,secondary,no,-250,yes,no,unknown,3,jun,147,2,-1,0,unknown,no
