id,split,age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y,month_num,season,month_sin,month_cos,day_sin,day_cos,early_month,late_month,avg_contact_duration,contacts_per_month,financial_stress,education_unknown,age_group,balance_group
1,labeled,31,management,married,tertiary,0,460,0,0,cellular,28,13,14,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,-0.5712682150947924,0.8207634412072763,0,1,0.9285714285714286,1.75,0,0,1,2
2,labeled,34,blue-collar,married,secondary,0,1826,1,0,unknown,20,203,2,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.7907757369376986,-0.6121059825476627,0,1,101.5,0.4,0,0,1,3
3,labeled,50,blue-collar,married,secondary,0,290,1,0,cellular,7,226,3,-1,0,unknown,0,8,summer,-0.8660254037844385,-0.5000000000000004,0.9884683243281114,0.1514277775045767,1,0,75.33333333333333,0.375,0,0,3,2
4,labeled,42,admin.,divorced,secondary,0,1077,1,0,unknown,14,213,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.29936312297335804,-0.9541392564000488,0,0,213.0,0.2,0,0,2,3
5,labeled,47,services,single,secondary,0,41,1,0,cellular,5,298,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,0.8486442574947509,0.5289640103269624,1,0,298.0,0.2,0,0,3,2
6,labeled,48,management,married,tertiary,0,6609,0,0,unknown,17,159,3,-1,0,unknown,0,6,summer,1.2246467991473532e-16,-1.0,-0.2993631229733582,-0.9541392564000488,0,0,53.0,0.5,0,0,3,4
7,labeled,48,blue-collar,married,secondary,0,750,1,0,cellular,16,227,1,-1,0,unknown,0,4,spring,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,0,0,227.0,0.25,0,0,3,2
8,labeled,33,management,married,unknown,0,18345,1,0,unknown,23,415,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.9987165071710528,-0.05064916883871355,0,1,415.0,0.2,0,0,1,5
9,labeled,53,technician,divorced,primary,0,7280,1,0,unknown,30,153,1,-1,0,unknown,0,5,spring,0.49999999999999994,-0.8660254037844387,-0.20129852008866114,0.9795299412524943,0,1,153.0,0.2,0,0,3,4
10,labeled,43,management,married,tertiary,0,2883,0,0,cellular,20,230,1,-1,0,unknown,0,11,autumn,-0.5000000000000004,0.8660254037844384,-0.7907757369376986,-0.6121059825476627,0,1,230.0,0.09090909090909091,0,0,2,3
11,labeled,37,management,single,tertiary,0,42,0,0,cellular,28,253,2,-1,0,unknown,0,1,winter,0.49999999999999994,0.8660254037844387,-0.5712682150947924,0.8207634412072763,0,1,126.5,2.0,0,0,2,2
12,labeled,37,services,married,secondary,0,1322,1,0,telephone,13,121,2,341,4,failure,0,5,spring,0.49999999999999994,-0.8660254037844387,0.48530196253108104,-0.8743466161445821,0,0,60.5,0.4,0,0,2,3
