Split,Id,MSZoning,LotArea,Street,Utilities,LandSlope,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,Foundation,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,OpenPorchSF,EnclosedPorch,PoolArea,MiscFeature,SalePrice,Electtrical
labeled,1,RL,6173,Pave,AllPub,Gtl,1Story,1967.0,1967,Gable,CBlock,876,GasA,Y,SBrkr,902,0,902,0,1,3,1,6,0,Attchd,1967.0,Unf,1,288,Y,0,0,0,,125500.0,
labeled,2,RL,11200,Pave,AllPub,Gtl,1Story,1985.0,1985,Gable,CBlock,1298,GasA,Y,SBrkr,1298,0,1298,1,2,3,1,5,1,Attchd,1985.0,Unf,2,403,Y,26,0,0,,180000.0,
labeled,3,RL,11924,Pave,AllPub,Gtl,2Story,2005.0,2006,Hip,PConc,1175,GasA,Y,SBrkr,1182,1142,2324,1,3,4,1,11,2,BuiltIn,2005.0,Fin,3,736,Y,21,0,0,,345000.0,
labeled,4,RM,6882,Pave,AllPub,Gtl,2Story,1914.0,2006,Gable,PConc,684,GasA,Y,SBrkr,773,582,1355,0,1,3,1,7,0,,,,0,0,Y,0,115,0,,127000.0,
labeled,5,RL,4280,Pave,AllPub,Gtl,1Story,1913.0,2002,Gable,PConc,440,GasA,N,SBrkr,694,0,694,0,1,2,1,4,1,Detchd,1990.0,Unf,1,352,P,0,34,0,,90350.0,
labeled,6,RM,4800,Pave,AllPub,Gtl,1Story,1916.0,1990,Gable,CBlock,1196,GasA,Y,FuseA,1196,0,1196,1,1,2,1,5,0,Detchd,1957.0,Unf,2,440,Y,0,0,0,,109900.0,
labeled,7,RL,16381,Pave,AllPub,Gtl,1Story,1969.0,1969,Gable,CBlock,1844,GasA,Y,SBrkr,1844,0,1844,1,2,3,1,7,1,Attchd,1969.0,RFn,2,540,Y,73,216,0,,223000.0,
labeled,8,RL,2308,Pave,AllPub,Gtl,2Story,1974.0,1974,Gable,CBlock,855,GasA,Y,SBrkr,855,467,1322,0,2,3,1,6,1,Attchd,1974.0,Unf,2,440,Y,0,0,0,,147000.0,
labeled,9,RL,9738,Pave,AllPub,Gtl,1.5Fin,1924.0,1950,Gable,BrkTil,784,GasA,Y,SBrkr,949,272,1221,1,1,4,1,7,0,Attchd,1965.0,Unf,1,392,Y,0,236,0,,104900.0,
labeled,10,RL,9000,Pave,AllPub,Gtl,1Story,1971.0,1971,Gable,PConc,864,GasA,Y,SBrkr,864,0,864,0,1,3,1,5,0,Detchd,1974.0,Unf,2,528,Y,0,0,0,,120500.0,
labeled,11,RL,10215,Pave,AllPub,Gtl,1Story,1954.0,1954,Hip,PConc,864,GasA,Y,SBrkr,948,0,948,0,1,3,1,5,0,Attchd,1954.0,Unf,1,248,Y,0,0,0,,111000.0,
labeled,12,RL,7742,Pave,AllPub,Gtl,1Story,1966.0,1966,Gable,CBlock,955,GasA,Y,SBrkr,955,0,955,1,1,3,1,6,0,Attchd,1966.0,Unf,1,386,Y,0,0,0,,127000.0,
labeled,13,RL,12546,Pave,AllPub,Gtl,1Story,1981.0,1981,Gable,CBlock,1440,GasA,Y,SBrkr,1440,0,1440,0,2,3,1,7,1,Attchd,1981.0,Fin,2,467,Y,0,99,0,,182900.0,
labeled,14,RL,6442,Pave,AllPub,Gtl,1Story,2006.0,2006,Gable,PConc,1370,GasA,Y,SBrkr,1370,0,1370,0,2,2,1,6,1,Attchd,2006.0,RFn,2,484,Y,49,0,0,,202500.0,
labeled,15,RL,9591,Pave,AllPub,Gtl,2Story,2004.0,2005,Gable,PConc,1143,GasA,Y,SBrkr,1143,1330,2473,0,2,4,1,9,1,BuiltIn,2004.0,RFn,3,852,Y,151,0,0,,317000.0,
labeled,16,RL,12090,Pave,AllPub,Gtl,SLvl,1984.0,2003,Hip,CBlock,585,GasA,Y,SBrkr,1140,728,1868,0,3,3,1,7,1,BuiltIn,1984.0,Fin,2,477,Y,112,0,0,,178000.0,
labeled,17,RL,7800,Pave,AllPub,Gtl,1Story,1964.0,1964,Gable,CBlock,912,GasA,Y,SBrkr,912,0,912,0,1,2,1,5,0,Attchd,1964.0,Unf,1,288,Y,0,0,0,,115000.0,
labeled,18,RL,9531,Pave,AllPub,Gtl,2Story,1998.0,1998,Gable,PConc,794,GasA,Y,SBrkr,882,914,1796,1,2,3,1,7,0,Attchd,1998.0,RFn,2,546,Y,36,0,0,,211000.0,
labeled,19,RM,9600,Pave,AllPub,Gtl,2Story,1925.0,1990,Gable,BrkTil,728,GasA,Y,SBrkr,832,809,1641,0,1,3,1,6,1,Detchd,1925.0,Unf,2,546,Y,0,234,0,,178000.0,
labeled,20,RL,8849,Pave,AllPub,Gtl,1Story,2005.0,2005,Hip,PConc,1684,GasA,Y,SBrkr,1684,0,1684,0,2,2,1,6,1,Attchd,2005.0,RFn,2,564,Y,72,0,0,,266000.0,
labeled,21,RM,1491,Pave,AllPub,Gtl,SFoyer,1972.0,1972,Gable,CBlock,630,GasA,Y,SBrkr,630,0,630,1,1,1,1,3,0,,,,0,0,Y,24,0,0,,75500.0,
labeled,22,RL,8320,Pave,AllPub,Gtl,2Story,2004.0,2004,Gable,PConc,770,GasA,Y,SBrkr,770,812,1582,0,2,3,1,6,0,Attchd,2004.0,RFn,2,520,Y,45,0,0,,185900.0,
labeled,23,RL,10637,Pave,AllPub,Gtl,1Story,2007.0,2008,Hip,PConc,1705,GasA,Y,SBrkr,1718,0,1718,1,2,3,1,7,1,Attchd,2007.0,RFn,3,826,Y,44,0,0,,297000.0,
labeled,24,RM,6324,Pave,AllPub,Gtl,1Story,1927.0,1950,Gable,BrkTil,520,GasA,N,SBrkr,520,0,520,0,1,1,1,4,0,Detchd,1920.0,Unf,1,240,Y,0,87,0,,68500.0,
labeled,25,RL,9764,Pave,AllPub,Gtl,1Story,1967.0,2003,Gable,CBlock,894,GasA,Y,SBrkr,894,0,894,1,1,3,1,5,0,Attchd,1967.0,RFn,2,450,Y,0,0,0,,130000.0,
labeled,26,RL,7200,Pave,AllPub,Mod,2Story,1931.0,2000,Gable,BrkTil,776,GasA,Y,SBrkr,851,651,1502,0,1,3,1,6,1,Attchd,1931.0,RFn,1,270,P,0,112,0,,149000.0,
labeled,27,RL,8250,Pave,AllPub,Gtl,1Story,1968.0,1968,Hip,CBlock,952,GasA,Y,SBrkr,1211,0,1211,0,1,3,1,5,1,Attchd,1968.0,Unf,1,322,Y,63,0,0,,134000.0,
labeled,28,RL,3182,Pave,AllPub,Gtl,1Story,2004.0,2005,Gable,PConc,1256,GasA,Y,SBrkr,1269,0,1269,0,2,2,1,6,1,Attchd,2004.0,Fin,2,430,Y,20,0,0,,192000.0,
labeled,29,FV,3180,Pave,AllPub,Gtl,2Story,2005.0,2005,Gable,PConc,600,GasA,Y,SBrkr,520,600,1200,0,2,2,1,4,0,Detchd,2005.0,RFn,2,480,Y,166,0,0,,151000.0,
labeled,30,RH,8525,Pave,AllPub,Gtl,2Story,1911.0,1950,Gable,PConc,940,GasA,N,FuseA,1024,940,1964,0,1,4,1,7,0,,,,0,0,N,192,0,0,,130000.0,
labeled,31,RL,10420,Pave,AllPub,Gtl,1Story,2009.0,2009,Gable,PConc,1212,GasA,Y,SBrkr,1212,0,1212,0,2,3,1,6,0,Attchd,2009.0,RFn,2,460,Y,22,0,0,,186000.0,
labeled,32,RL,10000,Pave,AllPub,Gtl,1Story,1973.0,2000,Gable,CBlock,1176,GasA,Y,SBrkr,1178,0,1178,0,1,3,1,5,1,Attchd,1973.0,Unf,2,439,Y,0,0,0,,157000.0,
labeled,33,RL,11616,Pave,AllPub,Gtl,2Story,1978.0,1978,Hip,CBlock,672,GasA,Y,SBrkr,672,714,1386,0,2,3,1,6,1,Attchd,1978.0,Fin,2,440,Y,0,0,0,,158900.0,
labeled,34,RL,14115,Pave,AllPub,Gtl,1Story,1956.0,2004,Gable,PConc,1073,GasA,Y,SBrkr,1811,0,1811,0,1,2,1,6,1,Attchd,1956.0,Fin,2,470,Y,0,280,0,,230000.0,
labeled,35,RL,9525,Pave,AllPub,Gtl,1Story,1995.0,2006,Gable,PConc,1099,GasA,Y,SBrkr,1099,0,1099,0,1,3,1,6,0,Attchd,1999.0,Unf,1,352,Y,0,0,0,,144000.0,
labeled,36,RL,8816,Pave,AllPub,Gtl,1Story,1963.0,1963,Gable,PConc,1121,GasA,Y,SBrkr,1121,0,1121,1,1,3,1,5,0,Detchd,1963.0,Unf,2,480,Y,80,0,0,,139000.0,
labeled,37,RL,7200,Pave,AllPub,Gtl,1Story,1950.0,1950,Gable,CBlock,876,GasA,Y,SBrkr,988,0,988,0,1,3,1,6,0,Attchd,1950.0,Unf,1,276,Y,80,0,0,,119000.0,
labeled,38,RM,13710,Pave,AllPub,Gtl,1.5Fin,1950.0,1950,Gable,CBlock,910,GasA,Y,FuseA,910,648,1558,0,1,4,1,6,0,Attchd,1950.0,Unf,1,282,Y,0,0,0,,152000.0,
labeled,39,RL,9945,Pave,AllPub,Gtl,1Story,1961.0,1961,Hip,CBlock,988,GasA,Y,SBrkr,988,0,988,1,1,3,1,5,0,Detchd,1963.0,Unf,2,572,Y,0,0,0,,128500.0,
labeled,40,RL,7500,Pave,AllPub,Gtl,1Story,1963.0,1963,Gable,CBlock,1040,GasA,Y,SBrkr,1040,0,1040,1,1,3,1,5,0,Attchd,1963.0,Fin,1,308,Y,0,220,0,,133000.0,
labeled,41,RL,9473,Pave,AllPub,Gtl,2Story,2002.0,2002,Gable,PConc,1128,GasA,Y,SBrkr,1128,903,2031,1,2,3,1,7,1,Attchd,2002.0,RFn,2,577,Y,211,0,0,,237000.0,
labeled,42,RL,15750,Pave,AllPub,Gtl,1Story,1953.0,1953,Hip,CBlock,1165,GasA,Y,SBrkr,1336,0,1336,1,1,2,1,5,2,Attchd,1953.0,Unf,1,375,Y,0,0,0,,157000.0,
labeled,43,RL,7388,Pave,AllPub,Gtl,1Story,1959.0,2002,Gable,CBlock,1063,GasA,Y,SBrkr,1327,0,1327,1,1,3,1,7,0,Detchd,1974.0,Unf,2,624,Y,0,0,0,,150750.0,
labeled,44,RL,11050,Pave,AllPub,Gtl,2Story,2000.0,2000,Hip,PConc,1440,GasA,Y,SBrkr,1476,677,2153,1,2,3,1,8,2,Attchd,2000.0,Fin,3,736,Y,142,0,0,,313000.0,
labeled,45,RL,8814,Pave,AllPub,Gtl,1Story,2005.0,2007,Gable,PConc,1274,GasA,Y,SBrkr,1274,0,1274,1,2,3,1,6,0,Attchd,2005.0,RFn,2,508,Y,98,0,0,,203000.0,
labeled,46,RL,10762,Pave,AllPub,Gtl,2Story,1999.0,1999,Gable,PConc,978,GasA,Y,SBrkr,1005,978,1983,0,2,3,1,9,1,Attchd,1999.0,Fin,2,490,Y,0,0,0,,225000.0,
labeled,47,RL,12493,Pave,AllPub,Gtl,1Story,1960.0,1960,Gable,PConc,1100,GasA,Y,SBrkr,1100,0,1100,1,1,3,1,6,1,Attchd,1960.0,RFn,1,312,Y,0,0,0,,141000.0,
labeled,48,RL,11184,Pave,AllPub,Gtl,2Story,1978.0,1978,Hip,CBlock,918,GasA,Y,SBrkr,918,765,1683,0,2,3,1,7,1,Attchd,1978.0,RFn,2,440,Y,0,0,0,,172500.0,
labeled,49,RL,10364,Pave,AllPub,Gtl,2Story,1995.0,1996,Gable,PConc,806,GasA,Y,SBrkr,806,766,1572,0,2,3,1,7,1,BuiltIn,1995.0,Fin,2,373,Y,40,0,0,,168000.0,
labeled,50,RL,9206,Pave,AllPub,Gtl,2Story,1985.0,1985,Gable,CBlock,741,GasA,Y,SBrkr,977,755,1732,0,2,3,1,7,1,Attchd,1985.0,Fin,2,476,Y,46,0,0,,178000.0,
labeled,51,RL,8944,Pave,AllPub,Gtl,1Story,1967.0,1967,Gable,CBlock,1584,GasA,Y,SBrkr,1584,0,1584,0,2,4,2,8,0,Detchd,1967.0,Unf,3,792,Y,152,0,0,,124000.0,
labeled,52,RL,9020,Pave,AllPub,Gtl,SLvl,1964.0,1964,Gable,CBlock,1248,GasA,Y,SBrkr,1350,0,1350,1,1,3,1,6,0,Attchd,1964.0,RFn,2,520,Y,0,0,0,,168500.0,
labeled,53,RL,12090,Pave,AllPub,Gtl,2Story,1998.0,1998,Hip,PConc,1141,GasA,Y,SBrkr,1165,1098,2263,0,2,4,1,10,1,BuiltIn,1998.0,Fin,2,420,Y,123,0,0,,258000.0,
labeled,54,RL,8450,Pave,AllPub,Gtl,1Story,1968.0,1968,Gable,CBlock,1056,GasA,Y,SBrkr,1056,0,1056,1,1,3,1,6,1,Attchd,1968.0,Unf,1,304,Y,85,184,0,,142000.0,
labeled,55,FV,8125,Pave,AllPub,Gtl,2Story,2006.0,2006,Gable,PConc,770,GasA,Y,SBrkr,778,798,1576,0,2,3,1,6,0,Attchd,2006.0,RFn,2,614,Y,50,0,0,,197000.0,
labeled,56,RL,11250,Pave,AllPub,Gtl,2Story,2002.0,2002,Gable,PConc,1128,GasA,Y,SBrkr,1149,1141,2290,0,2,4,1,9,1,Attchd,2002.0,Unf,2,779,Y,0,0,0,,255900.0,
labeled,57,RL,8544,Pave,AllPub,Gtl,1Story,1966.0,2006,Gable,CBlock,1228,GasA,Y,SBrkr,1228,0,1228,0,1,3,1,6,0,Attchd,1966.0,Unf,1,271,Y,65,0,0,,149350.0,
labeled,58,RL,4928,Pave,AllPub,Gtl,1Story,1976.0,1976,Gable,CBlock,1078,GasA,Y,SBrkr,958,0,958,0,2,2,1,5,1,Attchd,1977.0,RFn,2,440,Y,205,0,0,,128000.0,
labeled,59,RL,7685,Pave,AllPub,Gtl,2Story,1993.0,1994,Gable,PConc,697,GasA,Y,SBrkr,697,804,1501,0,2,3,1,6,1,Attchd,1993.0,Fin,2,420,Y,63,0,0,,165600.0,
labeled,60,RL,8800,Pave,AllPub,Gtl,1Story,1964.0,1964,Hip,CBlock,1251,GasA,Y,SBrkr,1251,0,1251,1,1,3,1,6,2,Attchd,1964.0,RFn,1,461,Y,116,0,0,Shed,160000.0,
labeled,61,RM,1680,Pave,AllPub,Gtl,2Story,1971.0,1971,Gable,CBlock,483,GasA,Y,SBrkr,483,504,987,0,1,2,1,5,0,Detchd,1971.0,Unf,1,264,Y,0,0,0,,89500.0,
labeled,62,FV,2117,Pave,AllPub,Gtl,2Story,2000.0,2000,Gable,PConc,756,GasA,Y,SBrkr,769,804,1573,0,2,3,1,5,0,Detchd,2000.0,Unf,2,440,Y,32,0,0,,177500.0,
labeled,63,RL,11428,Pave,AllPub,Gtl,1Story,2006.0,2006,Gable,PConc,1626,GasA,Y,SBrkr,1634,0,1634,0,2,3,1,7,1,Attchd,2006.0,RFn,3,866,Y,44,0,0,,250000.0,
labeled,64,RL,7700,Pave,AllPub,Gtl,1Story,1972.0,1972,Gable,CBlock,882,GasA,Y,SBrkr,882,0,882,1,1,3,1,5,0,Detchd,1980.0,Unf,2,461,Y,0,0,0,,112500.0,
labeled,65,RL,8544,Pave,AllPub,Gtl,1Story,1949.0,1950,Gable,Slab,0,Wall,N,FuseA,1040,0,1040,0,2,2,2,6,0,Detchd,1949.0,Unf,2,400,Y,0,0,0,,87500.0,
labeled,66,RM,1974,Pave,AllPub,Gtl,2Story,1973.0,1973,Gable,CBlock,546,GasA,Y,SBrkr,546,546,1092,0,1,3,1,6,0,Attchd,1973.0,RFn,1,286,Y,96,0,0,,83500.0,
labeled,67,RM,1596,Pave,AllPub,Gtl,SLvl,1973.0,1973,Gable,CBlock,462,GasA,Y,SBrkr,526,462,988,1,1,2,1,5,0,BuiltIn,1973.0,Unf,1,297,Y,101,0,0,,91000.0,
labeled,68,RL,25286,Pave,AllPub,Mod,1Story,1963.0,1963,Gable,PConc,1064,GasA,Y,SBrkr,1040,0,1040,1,1,3,1,5,0,Attchd,1963.0,Unf,2,648,Y,0,0,0,,132250.0,
labeled,69,RL,11616,Pave,AllPub,Gtl,1Story,1962.0,1962,Gable,CBlock,1092,GasA,Y,SBrkr,1092,0,1092,0,1,3,1,6,1,Attchd,1962.0,Unf,1,288,Y,20,144,0,,139000.0,
labeled,70,RL,8400,Pave,AllPub,Gtl,2Story,1980.0,1981,Gable,CBlock,650,GasA,Y,SBrkr,888,676,1564,0,2,3,1,7,1,Attchd,1980.0,Unf,2,476,Y,50,0,0,,171000.0,
labeled,71,RL,8923,Pave,AllPub,Gtl,1Story,1953.0,2006,Gable,CBlock,1008,GasA,Y,SBrkr,1008,0,1008,1,1,2,1,6,0,Attchd,1953.0,Unf,1,240,Y,18,0,0,,134500.0,
labeled,72,RM,12150,Pave,AllPub,Gtl,1.5Fin,1954.0,1954,Gable,BrkTil,1050,GasA,N,FuseF,1050,745,1795,0,2,4,1,7,0,Attchd,1954.0,Unf,1,352,Y,0,0,0,,131500.0,
labeled,73,RL,5330,Pave,AllPub,Gtl,1Story,2000.0,2000,Gable,PConc,1494,GasA,Y,SBrkr,1652,0,1652,1,2,2,1,6,0,Attchd,2000.0,RFn,2,499,Y,48,0,0,,251000.0,
labeled,74,RL,12378,Pave,AllPub,Gtl,1Story,2003.0,2004,Gable,PConc,1896,GasA,Y,SBrkr,1944,0,1944,1,2,3,1,8,3,Attchd,2003.0,Fin,3,708,Y,175,0,0,,360000.0,
labeled,75,RL,10920,Pave,AllPub,Gtl,1Story,1960.0,1960,Hip,CBlock,1253,GasA,Y,SBrkr,1253,0,1253,1,1,2,1,5,1,Attchd,1960.0,RFn,1,352,Y,213,176,0,,157000.0,
labeled,76,RL,17871,Pave,AllPub,Gtl,SLvl,1967.0,1976,Gable,CBlock,1680,GasA,Y,SBrkr,1724,0,1724,1,1,3,1,7,1,Attchd,1967.0,RFn,2,480,Y,0,0,0,,197900.0,
labeled,77,RL,11782,Pave,AllPub,Gtl,SFoyer,1961.0,1995,Gable,CBlock,1109,GasA,Y,SBrkr,1155,0,1155,1,1,3,1,6,0,Detchd,1987.0,Unf,2,576,Y,0,0,0,Shed,148000.0,
labeled,78,RL,10784,Pave,AllPub,Gtl,SLvl,1991.0,1992,Gable,PConc,384,GasA,Y,SBrkr,802,670,1472,0,2,3,1,7,1,Attchd,1991.0,RFn,2,402,Y,0,0,0,,160000.0,
labeled,79,RL,15578,Pave,AllPub,Gtl,2Story,2006.0,2006,Gable,PConc,728,GasA,Y,SBrkr,728,728,1456,0,2,3,1,8,0,Attchd,2006.0,RFn,2,429,Y,0,0,0,,172785.0,
labeled,80,RL,3013,Pave,AllPub,Gtl,1Story,2005.0,2005,Gable,PConc,1362,GasA,Y,SBrkr,1506,0,1506,0,2,2,1,6,1,Attchd,2005.0,Fin,2,440,Y,20,0,0,,213490.0,
labeled,81,RL,8064,Pave,AllPub,Gtl,1.5Fin,1949.0,2006,Gable,CBlock,672,GasA,Y,SBrkr,672,252,924,0,1,3,1,6,1,Detchd,2003.0,Unf,2,576,Y,0,0,0,Shed,122900.0,
labeled,82,RL,14145,Pave,AllPub,Gtl,1Story,1984.0,1998,Gable,CBlock,1208,GasA,Y,SBrkr,1621,0,1621,1,2,3,1,8,0,Attchd,1984.0,RFn,2,440,Y,45,0,0,Shed,202500.0,
labeled,83,RL,9600,Pave,AllPub,Gtl,SLvl,1955.0,1972,Gable,CBlock,1156,GasA,Y,SBrkr,1520,0,1520,1,1,3,1,7,2,Basment,1955.0,RFn,1,364,Y,0,189,0,,153000.0,
labeled,84,RL,14850,Pave,AllPub,Gtl,1Story,1957.0,1957,Gable,CBlock,1092,GasA,Y,FuseA,1092,0,1092,1,1,2,1,6,1,Attchd,1957.0,Fin,1,299,Y,0,0,0,,141000.0,
labeled,85,RM,7200,Pave,AllPub,Gtl,SFoyer,1980.0,1980,Gable,CBlock,936,GasA,Y,SBrkr,936,0,936,1,1,2,1,4,0,Detchd,1980.0,Unf,2,672,Y,0,0,0,,140000.0,
labeled,86,RL,7677,Pave,AllPub,Gtl,1Story,1953.0,1953,Gable,CBlock,773,GasA,Y,SBrkr,773,0,773,0,1,2,1,4,0,Attchd,1953.0,Unf,1,240,Y,0,0,0,,110000.0,
labeled,87,RL,10482,Pave,AllPub,Gtl,SLvl,1958.0,1958,Hip,CBlock,588,GasA,Y,SBrkr,1138,0,1138,0,1,3,1,6,0,Attchd,1958.0,RFn,1,264,Y,0,0,0,,145000.0,
labeled,88,RL,7931,Pave,AllPub,Gtl,1Story,1959.0,1959,Hip,CBlock,1148,GasA,Y,SBrkr,1148,0,1148,1,1,3,1,6,0,Attchd,1959.0,Unf,1,672,Y,0,0,0,,132500.0,
labeled,89,RL,8366,Pave,AllPub,Gtl,2Story,2004.0,2004,Gable,PConc,798,GasA,Y,SBrkr,798,842,1640,0,2,3,1,6,0,Attchd,2004.0,RFn,2,520,Y,45,0,0,,173000.0,
labeled,90,RM,6000,Pave,AllPub,Gtl,1Story,1920.0,1950,Hip,PConc,960,GasA,Y,FuseA,960,0,960,0,1,2,1,5,0,Detchd,1997.0,Unf,1,308,Y,0,168,0,,108500.0,
labeled,91,RL,7420,Pave,AllPub,Gtl,1Story,1962.0,1962,Hip,CBlock,1057,GasA,Y,SBrkr,1057,0,1057,0,1,3,1,6,0,Detchd,1977.0,Fin,2,576,Y,0,0,0,,132000.0,
labeled,92,RL,11988,Pave,AllPub,Gtl,1Story,1957.0,1957,Gable,CBlock,1244,GasA,Y,FuseA,1244,0,1244,0,1,3,1,6,2,Attchd,1957.0,Unf,1,336,Y,40,0,0,,150000.0,
labeled,93,RL,7390,Pave,AllPub,Gtl,1Story,1955.0,1955,Hip,CBlock,1098,GasA,Y,SBrkr,1098,0,1098,1,1,3,1,6,0,Attchd,1955.0,Unf,1,260,Y,0,0,0,,135000.0,
labeled,94,RL,7844,Pave,AllPub,Gtl,2Story,1978.0,1978,Hip,CBlock,672,GasA,Y,SBrkr,672,728,1400,0,1,3,1,6,1,Attchd,1978.0,Fin,2,440,Y,0,0,0,,149500.0,
labeled,95,RL,9400,Pave,AllPub,Gtl,2Story,1971.0,1971,Mansard,CBlock,912,GasA,Y,SBrkr,912,912,1824,0,2,4,2,8,0,,,,0,0,Y,0,0,0,,139000.0,
labeled,96,RL,7910,Pave,AllPub,Gtl,SLvl,1960.0,1960,Hip,CBlock,1075,GasA,Y,SBrkr,1507,0,1507,0,2,4,1,7,0,Basment,1960.0,Unf,1,404,Y,0,0,0,,127000.0,
labeled,97,FV,9000,Pave,AllPub,Gtl,1Story,2008.0,2008,Gable,PConc,1566,GasA,Y,,1566,0,1566,1,2,3,1,7,0,Attchd,2008.0,RFn,2,750,Y,168,0,0,,262500.0,
labeled,98,RL,10708,Pave,AllPub,Gtl,1Story,1955.0,1993,Hip,CBlock,1617,GasA,Y,FuseA,1867,0,1867,1,1,2,1,7,3,Attchd,1955.0,Fin,1,303,Y,0,0,0,,190000.0,
labeled,99,RM,6380,Pave,AllPub,Gtl,1.5Unf,1922.0,1950,Gable,BrkTil,993,GasA,Y,FuseA,1048,0,1048,0,1,2,1,5,1,Detchd,1922.0,Unf,1,280,Y,0,116,0,,113000.0,
labeled,100,RM,1533,Pave,AllPub,Gtl,2Story,1970.0,2008,Gable,CBlock,546,GasA,Y,SBrkr,798,546,1344,0,1,3,1,6,1,,,,0,0,Y,0,0,0,,97000.0,
labeled,101,RL,9180,Pave,AllPub,Gtl,SFoyer,1983.0,1983,Gable,CBlock,840,GasA,Y,SBrkr,884,0,884,1,1,2,1,5,0,Attchd,1983.0,RFn,2,504,Y,0,0,0,,144000.0,
labeled,102,RL,11302,Pave,AllPub,Gtl,1Story,2005.0,2006,Gable,PConc,1814,GasA,Y,SBrkr,1826,0,1826,1,2,3,1,7,1,Attchd,2005.0,Fin,3,758,Y,75,0,0,,319000.0,
labeled,103,RL,9170,Pave,AllPub,Gtl,1Story,1965.0,1965,Hip,CBlock,1214,GasA,Y,SBrkr,1214,0,1214,1,1,2,1,6,0,Detchd,1965.0,Unf,2,461,Y,0,184,0,Shed,140000.0,
