Price,Year,Kms,Miles,Fuel,Transmission,Owner,Seller,Drivetrain,Length,Width,Height,Seating
5656,2017,87150,54152.48265,Petrol,Manual,First,Corporate,FWD,3990,1680,1505,5
5040,2014,75000,46602.825,Diesel,Manual,Second,Individual,FWD,3995,1695,1555,5
2464,2011,67000,41631.857,Petrol,Manual,First,Individual,FWD,3585,1595,1550,5
8948.8,2019,37500,23301.4125,Petrol,Manual,First,Individual,FWD,3995,1745,1510,5
21840,2018,69000,42874.599,Diesel,Manual,First,Individual,RWD,4735,1830,1795,7
7560,2017,73315,45555.814865,Petrol,Manual,First,Individual,FWD,4490,1730,1485,5
29680,2017,75000,46602.825,Diesel,Automatic,Second,Individual,AWD,4439,1821,1612,5
15568,2017,56000,34796.776,Petrol,Automatic,First,Individual,FWD,4670,1814,1476,5
6440,2015,85000,52816.535,Diesel,Manual,First,Individual,FWD,4331,1822,1671,5
6619.2,2017,20281,12602.025251,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5
5151.9888,2018,22541,14006.323711,Petrol,Manual,First,Individual,FWD,3679,1579,1478,5
12040,2019,30672,19058.691312,Petrol,Automatic,First,Individual,FWD,4490,1730,1485,5
18984,2019,20856,12959.313576,Diesel,Manual,First,Individual,FWD,4598,1894,1706,5
10583.9888,2017,41417,25735.322707,Petrol,Automatic,First,Individual,FWD,3971,1682,1469,5
6372.8,2016,11471,7127.746741,Petrol,Automatic,First,Individual,FWD,3695,1600,1560,5
5028.8,2019,3583,2226.372293,Petrol,Manual,First,Individual,FWD,3445,1515,1475,5
10023.9888,2018,21365,13275.591415,Petrol,Automatic,First,Individual,FWD,3995,1745,1510,5
7828.8,2020,30777,19123.935267,Petrol,Automatic,First,Individual,FWD,3655,1620,1675,5
8288,2016,60125,37359.931375,Petrol,Manual,First,Individual,FWD,4270,1780,1630,5
5264,2020,2169,1347.753699,Petrol,Automatic,First,Individual,FWD,3565,1520,1564,5
8568,2015,60240,37431.38904,Petrol,Automatic,First,Individual,FWD,4384,1699,1466,5
6596.8,2018,13772,8557.521412,Petrol,Automatic,First,Individual,FWD,3610,1645,1560,5
11188.8,2019,27464,17065.333144,Petrol,Manual,First,Individual,FWD,3995,1770,1605,5
4144,2019,47377,29438.693867,CNG,Manual,First,Individual,FWD,3545,1490,1475,4
3640,2013,23086,14344.970906,Petrol,Manual,First,Individual,FWD,3775,1680,1620,5
13160,2019,36313,22563.845123,Petrol,Manual,First,Individual,FWD,4270,1780,1630,5
3931.2,2014,39276,24404.967396,Petrol,Manual,First,Individual,FWD,3610,1680,1500,5
6171.2,2015,47752,29671.707992,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5
9183.9888,2018,27963,17375.397273,Petrol,Manual,First,Individual,FWD,3999,1734,1601,5
11088,2020,24013,14920.981823,Petrol,Manual,First,Individual,FWD,3995,1770,1605,5
10360,2016,66000,41010.486,Diesel,Automatic,First,Individual,FWD,4270,1780,1630,5
5992,2015,28000,17398.388,Petrol,Manual,First,Individual,FWD,3999,1765,1708,5
1624,2009,72000,44738.712,CNG,Manual,Second,Individual,FWD,3565,1525,1590,5
4580.8,2018,27069,16819.891599,Petrol,Manual,First,Individual,FWD,3746,1647,1535,5
5488,2018,43000,26718.953,Diesel,Manual,First,Individual,FWD,3992,1677,1537,5
21280,2019,71000,44117.341,Diesel,Manual,First,Individual,RWD,4735,1830,1795,8
