id,split,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,was_contacted_before,campaign_intensity,age_group,quarter
1,labeled,31,management,married,tertiary,no,460.0,no,no,cellular,28,aug,13.0,14,-1,0,unknown,no,0,14.0,adulto_joven,Q3
2,labeled,34,blue-collar,married,secondary,no,1826.0,yes,no,cellular,20,may,203.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
3,labeled,50,blue-collar,married,secondary,no,290.0,yes,no,cellular,7,aug,226.0,3,-1,0,unknown,no,0,3.0,adulto,Q3
4,labeled,42,admin.,divorced,secondary,no,1077.0,yes,no,cellular,14,may,213.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
5,labeled,47,services,single,secondary,no,41.0,yes,no,cellular,5,may,298.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
6,labeled,48,management,married,tertiary,no,6609.0,no,no,cellular,17,jun,159.0,3,-1,0,unknown,no,0,3.0,adulto,Q2
7,labeled,48,blue-collar,married,secondary,no,750.0,yes,no,cellular,16,apr,227.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
8,labeled,33,management,married,secondary,no,13689.540000000003,yes,no,cellular,23,may,415.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
9,labeled,53,technician,divorced,primary,no,7280.0,yes,no,cellular,30,may,153.0,1,-1,0,unknown,no,0,1.0,adulto,Q2
10,labeled,43,management,married,tertiary,no,2883.0,no,no,cellular,20,nov,230.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q4
11,labeled,37,management,single,tertiary,no,42.0,no,no,cellular,28,jan,253.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q1
12,labeled,37,services,married,secondary,no,1322.0,yes,no,telephone,13,may,121.0,2,341,4,failure,no,1,0.4,adulto_joven,Q2
13,labeled,38,blue-collar,married,primary,no,504.0,yes,yes,cellular,12,jun,122.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q2
14,labeled,30,services,single,secondary,no,0.0,yes,no,cellular,18,may,131.0,6,363,9,failure,no,1,0.6,joven,Q2
15,labeled,29,management,single,tertiary,no,27.0,yes,no,cellular,14,may,107.0,4,371,3,failure,no,1,1.0,joven,Q2
16,labeled,46,management,married,tertiary,no,1366.0,yes,no,cellular,17,nov,308.0,3,-1,0,unknown,no,0,3.0,adulto,Q4
17,labeled,46,unemployed,married,secondary,no,3538.0,yes,no,cellular,12,aug,235.0,2,-1,0,unknown,no,0,2.0,adulto,Q3
18,labeled,31,blue-collar,single,tertiary,no,2189.0,yes,no,cellular,23,may,146.0,3,-1,0,unknown,no,0,3.0,adulto_joven,Q2
20,labeled,33,technician,married,secondary,no,349.0,yes,no,cellular,20,apr,210.0,1,242,1,other,no,1,0.5,adulto_joven,Q2
21,labeled,28,management,married,tertiary,no,316.0,yes,no,cellular,27,may,4.0,4,-1,0,unknown,no,0,4.0,joven,Q2
22,labeled,38,unemployed,single,tertiary,no,0.0,no,no,cellular,6,feb,39.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q1
23,labeled,41,technician,single,secondary,no,1674.0,yes,no,cellular,2,jun,76.0,2,-1,0,unknown,no,0,2.0,adulto_joven,Q2
25,labeled,37,technician,divorced,secondary,no,83.0,no,no,cellular,21,jul,191.0,1,-1,0,unknown,no,0,1.0,adulto_joven,Q3
27,labeled,57,retired,married,secondary,no,374.0,yes,yes,cellular,16,jul,236.0,1,-1,0,unknown,no,0,1.0,adulto,Q3
