Year,Kms,Fuel,Transmission,Owner,Seller,Drivetrain,Length,Width,Height,Seating,Real_Price,Predicted_Price
2019,58618,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5,9800.0,10666.33811464151
2013,57000,CNG,Manual,First,Individual,FWD,3565,1525,1590,5,2240.0,3044.63503556712
2016,38779,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5,7336.0,6548.8465763197
2011,26000,Petrol,Automatic,First,Individual,RWD,5226,2120,1479,5,20720.0,21847.475086161292
2015,46000,Diesel,Automatic,First,Individual,AWD,5089,1983,1737,7,29120.0,33980.7796445241
2012,57000,Petrol,Manual,First,Individual,FWD,4425,1695,1505,5,3528.0,4784.4534159156265
2015,91100,Diesel,Automatic,First,Individual,AWD,5120,1934,1850,7,37968.0,39432.246811545316
2022,600,Petrol,Manual,First,Individual,FWD,4323,1809,1650,5,17360.0,16719.400391052583
2017,82000,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5,5488.0,7010.726305799735
2016,71000,Diesel,Manual,Second,Individual,FWD,3765,1660,1520,5,3864.0,4730.712226280643
2017,219000,Diesel,Automatic,Second,Individual,AWD,4795,1855,1835,7,30800.0,30571.426741775453
2019,44710,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5,7280.0,6507.910770239499
2017,24100,Petrol,Manual,First,Individual,FWD,3955,1694,1544,5,6552.0,6219.886397292955
2017,35000,Petrol,Automatic,Third,Individual,FWD,3995,1745,1500,5,6664.0,7265.818485029582
2017,48591,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5,7560.0,6941.120125756329
2015,103890,Diesel,Automatic,Second,Individual,AWD,5120,1934,1850,7,41440.0,38900.0398439838
2021,12500,Petrol,Automatic,First,Individual,FWD,4447,1821,1598,5,44688.0,30905.74865840206
2018,34000,Petrol,Manual,First,Individual,FWD,3495,1550,1500,5,4536.0,3319.555554349047
2019,69000,Diesel,Manual,First,Individual,AWD,4456,1820,1995,7,15400.0,16490.34875932681
