balcony_area,built_up_area,carpet_area,land_area,distance_to_main_road,nearby_hospital_distance,nearby_market_distance,nearby_metro_distance,nearby_playground_distance,building_age,water_supply_hours,year_built,maintenance_fee,property_tax,service_charge,price,balconies,baths,beds,floor,number_of_units,parking_spaces,total_floors,elevator,furnished,gas_connection,generator,internet_available,power_backup,security_guard,servant_room,road_width,facing_direction,kitchen_type,locality,type
49.65,1512.29,1224.78,1746.13,545.0,610.0,830.0,650.0,850.0,14.0,7.0,2012,54.67,329.21,20.35,9383598.57,3,4,3,11,17,2,14,True,True,False,True,True,False,True,False,74.0,east,dedicated,Kafrul,apartment
60.39,1154.5,1012.8,1291.83,655.0,300.0,590.0,1180.0,1200.0,11.0,17.0,2015,28.6,307.82,10.46,4488123.34,3,3,3,26,71,3,30,True,False,True,False,True,False,False,False,17.0,north,inline,Old Dhaka,apartment
83.65,1321.42,1056.45,1545.54,1445.0,1400.0,320.0,1030.0,450.0,27.0,14.0,1999,32.86,198.86,16.27,4370586.78,2,3,2,17,89,2,21,False,False,False,False,True,False,False,True,59.0,west,inline,Khilgaon,condominium
119.51,2346.48,1936.87,3414.91,1385.0,1350.0,1260.0,1410.0,740.0,17.0,8.0,2009,49.15,521.87,24.18,9877124.91,3,4,4,1,1,0,3,False,False,False,True,True,True,False,False,69.0,north,dedicated,Khilgaon,duplex
532.49,6853.84,5946.66,13447.1,545.0,150.0,520.0,660.0,210.0,25.0,14.0,2001,207.41,4025.82,190.75,70418077.55,3,5,4,4,1,1,4,False,False,True,False,True,True,False,True,20.0,north,dedicated,Dhanmondi,villa
77.01,1080.87,913.77,1162.51,955.0,1390.0,780.0,800.0,250.0,24.0,10.0,2002,17.9,358.93,11.48,3767533.75,3,4,3,3,191,0,6,True,False,False,False,True,False,False,False,60.0,north,inline,Rampura,condominium
45.37,1046.39,825.78,1105.25,405.0,1040.0,1280.0,1370.0,990.0,38.0,19.0,1988,25.08,231.73,12.73,3633997.34,3,3,3,2,57,3,6,False,False,True,True,False,True,False,False,16.0,west,inline,Malibagh,condominium
137.44,1842.51,1400.02,2061.18,650.0,1040.0,780.0,580.0,280.0,23.0,8.0,2003,51.73,603.69,17.03,6506858.02,3,4,3,5,29,0,11,True,False,False,False,True,False,False,False,49.0,south,dedicated,Mirpur 1,condominium
95.43,2616.31,2100.26,2799.19,660.0,280.0,140.0,240.0,170.0,39.0,16.0,1987,134.78,1449.0,41.0,21530615.48,3,7,6,6,61,1,7,True,False,True,False,True,True,True,True,67.0,north,dedicated,Niketon,condominium
66.3,1545.7,1300.44,1781.87,790.0,500.0,500.0,510.0,640.0,2.0,7.0,2024,45.39,388.4,27.16,10830744.99,3,5,4,4,107,1,6,True,False,False,False,True,True,True,False,49.0,east,dedicated,Mohammedpur,apartment
82.13,1233.42,940.94,1464.83,1485.0,280.0,1210.0,1250.0,1230.0,19.0,16.0,2007,36.61,233.92,11.22,4531764.1,3,4,3,7,94,3,12,True,True,False,True,True,False,False,False,27.0,north,inline,Paltan,apartment
173.05,3025.06,2313.03,3622.54,105.0,230.0,340.0,180.0,380.0,3.0,19.0,2023,106.45,1857.99,79.26,42901077.53,3,4,4,11,191,2,16,True,True,False,True,True,True,True,False,46.0,north,dedicated,Baridhara,penthouse
95.88,1503.08,1282.45,1691.07,1300.0,1170.0,880.0,1270.0,260.0,32.0,10.0,1994,38.99,410.14,13.72,4924091.8,3,4,3,10,100,3,13,True,False,True,False,True,False,False,False,43.0,south,dedicated,Mirpur 1,apartment
156.74,2765.28,2478.58,3951.5,615.0,610.0,230.0,920.0,500.0,20.0,24.0,2006,93.42,1175.36,47.88,16133752.89,3,5,4,2,1,1,4,False,True,False,False,True,False,False,False,76.0,west,dedicated,Motijheel,townhouse
160.89,2608.09,2021.05,3991.76,605.0,950.0,1000.0,440.0,260.0,24.0,10.0,2002,91.16,809.86,26.36,16233790.87,3,5,4,4,1,0,4,False,False,True,True,True,True,False,False,62.0,west,dedicated,Kafrul,triplex
241.56,3094.81,2426.02,5547.24,975.0,910.0,350.0,490.0,920.0,18.0,13.0,2008,111.26,1272.08,38.99,19414995.51,3,4,4,1,1,1,1,False,True,True,True,True,True,False,False,23.0,east,dedicated,Farmgate,townhouse
65.04,1461.84,1174.44,1651.07,1270.0,870.0,220.0,680.0,830.0,2.0,16.0,2024,29.39,247.35,20.95,6438128.63,2,2,2,21,56,1,30,True,False,False,False,False,True,False,False,19.0,west,dedicated,Rampura,apartment
81.58,1621.27,1387.79,1761.49,290.0,1360.0,950.0,880.0,1100.0,17.0,16.0,2009,38.67,421.1,19.22,5877827.96,3,4,4,3,162,2,9,True,False,True,False,True,False,False,False,45.0,east,dedicated,Badda,apartment
