balcony_area,built_up_area,carpet_area,land_area,distance_to_main_road,nearby_hospital_distance,nearby_market_distance,nearby_metro_distance,nearby_playground_distance,building_age,water_supply_hours,year_built,maintenance_fee,property_tax,service_charge,price,view_count,photo_count,balconies,baths,beds,floor,number_of_units,parking_spaces,total_floors,elevator,furnished,gas_connection,generator,internet_available,power_backup,security_guard,servant_room,road_width,facing_direction,kitchen_type,locality,type
40.45,706.4,608.28,804.28,695.0,650.0,670.0,540.0,260.0,6.0,8.0,2020,15.46,228.12,5.96,1885660.08,2451,27,1,1,1,1,33,3,7,True,True,False,False,True,False,False,False,23.0,south,inline,Old Dhaka,apartment
170.42,2324.17,2041.31,2572.9,70.0,220.0,260.0,190.0,660.0,36.0,10.0,1990,130.83,1268.51,45.83,13771332.27,3808,13,3,5,4,12,51,1,20,True,True,True,True,True,False,True,True,34.0,north,dedicated,Niketon,condominium
55.42,1152.21,965.01,1382.19,350.0,1180.0,1350.0,1200.0,640.0,31.0,18.0,1995,22.36,173.53,10.01,2524333.3,2207,36,2,2,2,9,136,1,10,True,False,True,True,True,False,False,False,71.0,north,inline,Jatrabari,apartment
63.29,1681.39,1414.63,1957.77,580.0,690.0,210.0,950.0,250.0,33.0,24.0,1993,51.37,741.64,27.01,6027018.89,1697,23,3,4,4,17,10,2,23,True,False,False,True,True,False,False,True,45.0,north,dedicated,Shyamoli,apartment
120.65,2572.23,2015.87,4456.13,815.0,320.0,730.0,1060.0,660.0,26.0,10.0,2000,54.45,411.96,35.96,7045896.84,856,7,3,6,6,1,1,0,2,True,False,False,True,True,False,True,False,76.0,east,dedicated,Lalbagh,bungalow
67.2,1715.48,1322.68,2831.76,710.0,1220.0,1400.0,570.0,1110.0,6.0,6.0,2020,44.53,470.21,22.94,5585791.74,1605,22,3,3,3,1,1,0,1,False,False,False,False,True,False,True,False,16.0,east,dedicated,Lalbagh,duplex
161.62,2930.98,2455.07,5581.37,285.0,310.0,740.0,460.0,700.0,36.0,23.0,1990,76.21,1137.12,38.58,10258144.11,3804,40,3,4,4,1,1,0,2,False,False,True,True,False,True,False,False,41.0,south,dedicated,Farmgate,bungalow
98.86,2039.43,1798.55,2189.66,215.0,80.0,640.0,460.0,590.0,34.0,15.0,1992,63.88,711.88,40.8,12565359.37,1373,32,3,4,3,23,87,1,23,True,True,False,False,True,True,True,True,59.0,south,dedicated,Bashundhara,apartment
84.13,2645.4,2043.2,4206.17,980.0,890.0,830.0,120.0,760.0,38.0,22.0,1988,70.48,1059.64,51.08,10283658.81,2082,21,3,6,5,2,1,2,2,True,True,True,True,False,False,True,False,23.0,west,dedicated,Motijheel,townhouse
107.19,2021.95,1764.13,3130.74,220.0,690.0,430.0,70.0,440.0,19.0,22.0,2007,81.63,937.47,54.18,16291026.79,997,28,3,4,3,1,1,2,2,True,False,False,True,True,True,False,False,76.0,north,dedicated,Dhanmondi,duplex
159.92,2076.52,1771.33,2409.92,245.0,50.0,410.0,240.0,330.0,33.0,17.0,1993,98.43,985.04,51.54,12444857.14,1800,36,3,5,4,6,120,2,12,True,True,True,True,True,True,True,False,38.0,west,dedicated,Niketon,condominium
114.59,1879.73,1596.98,2651.74,390.0,1360.0,1090.0,1320.0,1350.0,39.0,13.0,1987,50.14,565.37,17.18,4503052.8,3855,7,3,3,3,2,1,0,2,False,True,False,False,True,False,False,False,59.0,east,dedicated,Mirpur 10,townhouse
